user_prompt_index,split,answerable,category,information_type,n_hallucinated_models
0,unknown,True,OTHER,OTHER,2
1,unknown,True,SPORTS,IDENTITY,2
100,unknown,True,MOVIES_AND_TV,OTHER,2
1004,unknown,True,POLITICS,OTHER,3
1007,unknown,True,HEALTH,OTHER,2
1008,unknown,True,SPORTS,TEMPORAL,2
1009,unknown,True,MUSIC,IDENTITY,2
1011,unknown,True,MUSIC,IDENTITY,3
1015,unknown,True,SPORTS,NUMERICAL,3
1017,unknown,True,OTHER,OTHER,2
102,unknown,True,POLITICS,OTHER,2
1023,unknown,True,POLITICS,TEMPORAL,3
1025,unknown,True,POLITICS,TEMPORAL,1
103,unknown,True,POLITICS,OTHER,1
1030,unknown,True,SPORTS,TEMPORAL,0
1035,unknown,True,POLITICS,OTHER,3
1041,unknown,True,SPORTS,TEMPORAL,0
1042,unknown,True,POLITICS,OTHER,4
1044,unknown,True,SPORTS,IDENTITY,3
1046,unknown,True,SPORTS,IDENTITY,3
1047,unknown,True,SPORTS,OTHER,2
1048,unknown,True,POLITICS,IDENTITY,2
1051,unknown,True,SPORTS,OTHER,0
1054,unknown,False,OTHER,TEMPORAL,1
1060,unknown,True,POLITICS,TEMPORAL,0
1065,unknown,True,SPORTS,NUMERICAL,1
1067,unknown,True,MOVIES_AND_TV,IDENTITY,3
1068,unknown,True,TECHNOLOGY,IDENTITY,0
107,unknown,True,BUSINESS,NUMERICAL,0
1073,unknown,True,SPORTS,NUMERICAL,1
1075,unknown,True,SPORTS,NUMERICAL,2
1078,unknown,False,MUSIC,IDENTITY,1
1079,unknown,False,POLITICS,OTHER,1
108,unknown,True,MOVIES_AND_TV,NUMERICAL,1
1090,unknown,True,SPORTS,IDENTITY,4
1095,unknown,True,OTHER,OTHER,3
1096,unknown,True,POLITICS,IDENTITY,2
110,unknown,True,SPORTS,OTHER,3
1100,unknown,True,LITERATURE,NUMERICAL,4
1104,unknown,True,POLITICS,OTHER,1
1106,unknown,True,OTHER,IDENTITY,3
1107,unknown,True,MUSIC,TEMPORAL,2
1110,unknown,True,MOVIES_AND_TV,IDENTITY,3
1114,unknown,False,POLITICS,NUMERICAL,3
1115,unknown,True,OTHER,OTHER,3
1116,unknown,True,MOVIES_AND_TV,TEMPORAL,3
112,unknown,True,SPORTS,OTHER,1
1120,unknown,True,OTHER,OTHER,2
1122,unknown,True,POLITICS,TEMPORAL,1
1123,unknown,True,MUSIC,IDENTITY,1
1124,unknown,False,HEALTH,OTHER,1
1126,unknown,True,OTHER,TEMPORAL,2
1127,unknown,True,POLITICS,NUMERICAL,4
1128,unknown,True,POLITICS,TEMPORAL,0
1132,unknown,True,OTHER,IDENTITY,2
1135,unknown,True,SPORTS,TEMPORAL,2
1137,unknown,True,MUSIC,OTHER,2
1141,unknown,True,OTHER,TEMPORAL,1
1142,unknown,True,SPORTS,TEMPORAL,0
1143,unknown,True,SPORTS,TEMPORAL,2
1145,unknown,True,OTHER,SPATIAL,1
1146,unknown,True,TECHNOLOGY,OTHER,4
1147,unknown,True,EDUCATION,IDENTITY,1
1149,unknown,True,SPORTS,TEMPORAL,3
115,unknown,True,MOVIES_AND_TV,TEMPORAL,1
1150,unknown,True,SPORTS,OTHER,1
1151,unknown,True,SPORTS,IDENTITY,2
1153,unknown,True,SPORTS,TEMPORAL,0
1155,unknown,True,POLITICS,IDENTITY,2
1156,unknown,True,MUSIC,OTHER,2
1157,unknown,True,SPORTS,NUMERICAL,2
1158,unknown,True,LITERATURE,NUMERICAL,0
1159,unknown,True,BUSINESS,SPATIAL,2
1160,unknown,True,POLITICS,IDENTITY,2
1161,unknown,True,TECHNOLOGY,IDENTITY,1
1162,unknown,True,OTHER,OTHER,3
1168,unknown,True,SPORTS,IDENTITY,2
1171,unknown,True,MUSIC,TEMPORAL,1
1172,unknown,True,POLITICS,TEMPORAL,0
1178,unknown,True,POLITICS,IDENTITY,0
118,unknown,True,MOVIES_AND_TV,OTHER,3
1180,unknown,True,POLITICS,TEMPORAL,1
1182,unknown,True,MUSIC,OTHER,2
1187,unknown,True,POLITICS,TEMPORAL,2
1189,unknown,True,SPORTS,OTHER,0
1190,unknown,True,SPORTS,TEMPORAL,2
1193,unknown,True,SPORTS,TEMPORAL,3
1195,unknown,True,SPORTS,TEMPORAL,1
1198,unknown,True,POLITICS,OTHER,2
1199,unknown,True,SPORTS,OTHER,3
1205,unknown,True,POLITICS,OTHER,2
1206,unknown,True,MOVIES_AND_TV,TEMPORAL,1
1207,unknown,True,SCIENCE,OTHER,2
121,unknown,True,OTHER,OTHER,0
1213,unknown,True,POLITICS,IDENTITY,1
1214,unknown,True,POLITICS,TEMPORAL,2
1219,unknown,True,MOVIES_AND_TV,IDENTITY,2
1220,unknown,True,POLITICS,NUMERICAL,2
1222,unknown,True,SCIENCE,TEMPORAL,2
1224,unknown,True,SPORTS,IDENTITY,2
1226,unknown,True,MOVIES_AND_TV,TEMPORAL,1
1231,unknown,True,SPORTS,OTHER,1
1232,unknown,True,POLITICS,IDENTITY,3
1237,unknown,True,POLITICS,IDENTITY,0
1238,unknown,True,OTHER,SPATIAL,2
1242,unknown,True,MOVIES_AND_TV,IDENTITY,2
1244,unknown,True,OTHER,NUMERICAL,1
1245,unknown,True,SPORTS,OTHER,3
125,unknown,True,SPORTS,IDENTITY,3
1250,unknown,True,SPORTS,TEMPORAL,0
1254,unknown,True,MUSIC,TEMPORAL,2
1255,unknown,True,POLITICS,IDENTITY,1
1256,unknown,True,SPORTS,SPATIAL,2
1257,unknown,True,POLITICS,OTHER,2
126,unknown,True,MUSIC,OTHER,1
1263,unknown,True,BUSINESS,IDENTITY,2
1265,unknown,True,SPORTS,IDENTITY,2
1268,unknown,True,POLITICS,IDENTITY,3
1271,unknown,True,SPORTS,IDENTITY,3
1272,unknown,True,MOVIES_AND_TV,IDENTITY,3
1273,unknown,True,OTHER,IDENTITY,2
1274,unknown,True,MUSIC,NUMERICAL,1
1275,unknown,True,MUSIC,OTHER,0
1276,unknown,True,SPORTS,IDENTITY,2
1279,unknown,True,MUSIC,SPATIAL,0
1288,unknown,True,SPORTS,TEMPORAL,0
129,unknown,True,SPORTS,TEMPORAL,1
1291,unknown,True,SPORTS,TEMPORAL,1
1292,unknown,True,MOVIES_AND_TV,OTHER,2
1293,unknown,True,SPORTS,TEMPORAL,0
1296,unknown,True,POLITICS,NUMERICAL,2
1298,unknown,True,EDUCATION,TEMPORAL,1
1301,unknown,True,SPORTS,NUMERICAL,2
1302,unknown,True,SPORTS,IDENTITY,2
1303,unknown,True,SPORTS,NUMERICAL,3
1307,unknown,True,OTHER,TEMPORAL,1
1309,unknown,True,POLITICS,OTHER,3
131,unknown,True,OTHER,OTHER,3
1310,unknown,True,SPORTS,IDENTITY,1
1312,unknown,True,SPORTS,OTHER,2
1314,unknown,True,SPORTS,NUMERICAL,1
1316,unknown,True,SPORTS,TEMPORAL,1
1317,unknown,True,POLITICS,OTHER,0
1323,unknown,True,POLITICS,OTHER,1
1325,unknown,True,MUSIC,TEMPORAL,1
1327,unknown,True,POLITICS,OTHER,1
1329,unknown,True,LITERATURE,IDENTITY,2
1331,unknown,True,MOVIES_AND_TV,OTHER,0
1333,unknown,True,TECHNOLOGY,IDENTITY,2
1334,unknown,True,SPORTS,NUMERICAL,0
1336,unknown,True,EDUCATION,IDENTITY,3
1337,unknown,True,SPORTS,IDENTITY,2
1338,unknown,True,SPORTS,NUMERICAL,3
134,unknown,True,MUSIC,TEMPORAL,1
1341,unknown,True,MUSIC,OTHER,3
1342,unknown,True,POLITICS,TEMPORAL,1
1344,unknown,True,MOVIES_AND_TV,OTHER,1
1347,unknown,True,BUSINESS,TEMPORAL,3
1348,unknown,True,BUSINESS,OTHER,2
1349,unknown,True,SPORTS,OTHER,4
135,unknown,True,SCIENCE,OTHER,3
1351,unknown,True,POLITICS,NUMERICAL,2
1352,unknown,True,SPORTS,OTHER,4
1353,unknown,True,POLITICS,OTHER,3
1355,unknown,True,OTHER,OTHER,0
1358,unknown,True,OTHER,OTHER,1
1359,unknown,True,POLITICS,OTHER,0
1360,unknown,True,POLITICS,OTHER,2
1361,unknown,True,TECHNOLOGY,TEMPORAL,3
1362,unknown,True,SPORTS,OTHER,3
1363,unknown,True,POLITICS,OTHER,2
1364,unknown,True,MOVIES_AND_TV,OTHER,3
1369,unknown,True,MOVIES_AND_TV,NUMERICAL,4
1374,unknown,True,SPORTS,NUMERICAL,3
1375,unknown,True,POLITICS,OTHER,1
1376,unknown,True,MUSIC,OTHER,3
1377,unknown,True,TECHNOLOGY,NUMERICAL,1
1379,unknown,True,POLITICS,NUMERICAL,0
1383,unknown,True,BUSINESS,TEMPORAL,0
1384,unknown,True,MUSIC,OTHER,2
1386,unknown,True,EDUCATION,IDENTITY,1
1387,unknown,True,MUSIC,IDENTITY,2
1388,unknown,True,MOVIES_AND_TV,TEMPORAL,1
1391,unknown,True,MOVIES_AND_TV,IDENTITY,1
1396,unknown,True,MUSIC,NUMERICAL,1
1397,unknown,True,MUSIC,OTHER,1
1399,unknown,True,OTHER,IDENTITY,2
1401,unknown,True,BUSINESS,IDENTITY,3
1405,unknown,True,POLITICS,OTHER,1
1407,unknown,True,TECHNOLOGY,NUMERICAL,1
1408,unknown,True,MOVIES_AND_TV,IDENTITY,2
1409,unknown,True,SPORTS,TEMPORAL,1
1410,unknown,True,SPORTS,IDENTITY,3
1411,unknown,True,MUSIC,OTHER,2
1415,unknown,True,POLITICS,OTHER,2
142,unknown,True,POLITICS,TEMPORAL,3
1422,unknown,True,SPORTS,OTHER,3
1424,unknown,True,SPORTS,IDENTITY,1
1425,unknown,True,SPORTS,IDENTITY,1
1426,unknown,True,OTHER,NUMERICAL,1
1429,unknown,True,MUSIC,OTHER,3
1430,unknown,True,SCIENCE,IDENTITY,1
1438,unknown,True,TECHNOLOGY,TEMPORAL,0
144,unknown,True,POLITICS,TEMPORAL,1
1445,unknown,True,LITERATURE,IDENTITY,3
1447,unknown,True,MOVIES_AND_TV,OTHER,1
145,unknown,True,POLITICS,OTHER,1
1453,unknown,True,MOVIES_AND_TV,TEMPORAL,1
1454,unknown,True,MUSIC,OTHER,3
1455,unknown,True,MUSIC,TEMPORAL,1
1462,unknown,True,SPORTS,NUMERICAL,2
1466,unknown,True,OTHER,IDENTITY,3
1467,unknown,True,SPORTS,NUMERICAL,4
1468,unknown,True,OTHER,TEMPORAL,1
1469,unknown,True,POLITICS,TEMPORAL,1
1472,unknown,True,POLITICS,OTHER,3
1474,unknown,True,SPORTS,TEMPORAL,1
1476,unknown,True,SPORTS,OTHER,2
1478,unknown,True,POLITICS,IDENTITY,2
1483,unknown,True,POLITICS,OTHER,0
1485,unknown,True,POLITICS,TEMPORAL,3
1488,unknown,True,MUSIC,IDENTITY,2
1489,unknown,True,POLITICS,IDENTITY,2
1490,unknown,True,MUSIC,TEMPORAL,1
1495,unknown,True,OTHER,OTHER,2
1497,unknown,True,SPORTS,NUMERICAL,2
150,unknown,True,SPORTS,OTHER,4
1502,unknown,True,SPORTS,NUMERICAL,3
1504,unknown,True,OTHER,NUMERICAL,3
1505,unknown,True,TECHNOLOGY,IDENTITY,2
1507,unknown,True,BUSINESS,OTHER,1
151,unknown,True,BUSINESS,IDENTITY,0
1510,unknown,True,MUSIC,IDENTITY,3
1511,unknown,True,FOOD,SPATIAL,1
1517,unknown,True,OTHER,NUMERICAL,1
152,unknown,True,SPORTS,IDENTITY,1
1520,unknown,True,POLITICS,NUMERICAL,2
1521,unknown,True,SPORTS,IDENTITY,0
1522,unknown,True,SPORTS,IDENTITY,1
1523,unknown,True,BUSINESS,NUMERICAL,0
1524,unknown,True,SPORTS,OTHER,2
153,unknown,True,SPORTS,NUMERICAL,3
1532,unknown,True,OTHER,NUMERICAL,4
1533,unknown,True,OTHER,TEMPORAL,3
1534,unknown,True,POLITICS,IDENTITY,3
1535,unknown,True,TECHNOLOGY,TEMPORAL,2
1536,unknown,True,SPORTS,IDENTITY,2
1539,unknown,True,BUSINESS,NUMERICAL,0
1540,unknown,True,MUSIC,OTHER,2
1542,unknown,True,TECHNOLOGY,IDENTITY,2
1543,unknown,True,POLITICS,OTHER,1
1545,unknown,True,MUSIC,IDENTITY,1
1546,unknown,True,POLITICS,NUMERICAL,0
155,unknown,True,SPORTS,IDENTITY,3
1550,unknown,True,POLITICS,OTHER,2
1552,unknown,True,SPORTS,TEMPORAL,1
1553,unknown,True,MOVIES_AND_TV,TEMPORAL,2
1560,unknown,True,SPORTS,TEMPORAL,1
1563,unknown,True,MUSIC,TEMPORAL,2
1564,unknown,True,POLITICS,OTHER,2
1567,unknown,True,POLITICS,IDENTITY,4
1568,unknown,True,SPORTS,IDENTITY,1
1571,unknown,True,TECHNOLOGY,OTHER,2
1574,unknown,True,BUSINESS,OTHER,3
1578,unknown,True,LITERATURE,OTHER,3
1579,unknown,True,SPORTS,NUMERICAL,2
158,unknown,True,SPORTS,TEMPORAL,1
1586,unknown,True,POLITICS,NUMERICAL,1
1587,unknown,True,MOVIES_AND_TV,TEMPORAL,2
1588,unknown,True,SPORTS,IDENTITY,2
159,unknown,True,MUSIC,OTHER,2
1591,unknown,True,MOVIES_AND_TV,OTHER,3
1592,unknown,True,MOVIES_AND_TV,OTHER,3
1593,unknown,True,MOVIES_AND_TV,TEMPORAL,2
1597,unknown,True,MOVIES_AND_TV,OTHER,2
160,unknown,True,SPORTS,IDENTITY,3
1601,unknown,True,OTHER,OTHER,1
1604,unknown,True,SPORTS,OTHER,1
1605,unknown,True,POLITICS,TEMPORAL,1
1606,unknown,True,SPORTS,TEMPORAL,0
161,unknown,True,SPORTS,NUMERICAL,4
1612,unknown,True,OTHER,OTHER,3
1613,unknown,True,MOVIES_AND_TV,OTHER,2
1617,unknown,True,SPORTS,TEMPORAL,2
162,unknown,True,TECHNOLOGY,OTHER,3
1623,unknown,True,LITERATURE,NUMERICAL,2
1625,unknown,True,MUSIC,NUMERICAL,0
1627,unknown,True,POLITICS,NUMERICAL,2
1628,unknown,True,SPORTS,OTHER,3
1629,unknown,True,SPORTS,OTHER,2
163,unknown,True,MUSIC,TEMPORAL,2
1630,unknown,True,MUSIC,IDENTITY,3
1632,unknown,True,POLITICS,OTHER,1
1636,unknown,True,HEALTH,OTHER,3
1638,unknown,True,OTHER,IDENTITY,1
1639,unknown,True,MOVIES_AND_TV,IDENTITY,1
1641,unknown,True,OTHER,OTHER,2
1647,unknown,True,POLITICS,OTHER,1
1650,unknown,True,POLITICS,IDENTITY,3
1656,unknown,True,POLITICS,NUMERICAL,1
1657,unknown,True,POLITICS,IDENTITY,3
1660,unknown,True,MUSIC,IDENTITY,3
1661,unknown,True,POLITICS,IDENTITY,1
1664,unknown,True,BUSINESS,IDENTITY,3
1669,unknown,True,POLITICS,OTHER,2
1670,unknown,True,MUSIC,IDENTITY,2
1671,unknown,True,POLITICS,IDENTITY,0
1672,unknown,True,MUSIC,TEMPORAL,3
1673,unknown,True,POLITICS,IDENTITY,4
1676,unknown,True,SCIENCE,IDENTITY,1
1677,unknown,True,SPORTS,IDENTITY,3
1679,unknown,True,SPORTS,TEMPORAL,1
168,unknown,True,OTHER,TEMPORAL,1
1681,unknown,True,SPORTS,TEMPORAL,3
1683,unknown,True,SPORTS,OTHER,3
1686,unknown,True,TECHNOLOGY,IDENTITY,2
1689,unknown,True,EDUCATION,TEMPORAL,2
169,unknown,True,POLITICS,OTHER,2
1690,unknown,True,SPORTS,OTHER,3
1691,unknown,True,POLITICS,OTHER,2
1692,unknown,True,SPORTS,OTHER,0
1694,unknown,True,EDUCATION,NUMERICAL,2
1696,unknown,True,SPORTS,OTHER,1
1697,unknown,True,FOOD,OTHER,3
17,unknown,True,SPORTS,TEMPORAL,1
170,unknown,True,EDUCATION,TEMPORAL,0
1701,unknown,True,LITERATURE,NUMERICAL,1
1708,unknown,True,MUSIC,IDENTITY,3
1711,unknown,True,TECHNOLOGY,OTHER,3
1714,unknown,True,MOVIES_AND_TV,IDENTITY,2
1721,unknown,True,POLITICS,IDENTITY,3
1724,unknown,True,MUSIC,IDENTITY,2
1726,unknown,True,SPORTS,OTHER,3
1730,unknown,True,SPORTS,TEMPORAL,3
1736,unknown,True,POLITICS,OTHER,3
1738,unknown,True,MOVIES_AND_TV,NUMERICAL,2
1742,unknown,True,SCIENCE,OTHER,0
1747,unknown,True,SPORTS,NUMERICAL,1
1748,unknown,True,SPORTS,OTHER,2
1749,unknown,True,POLITICS,IDENTITY,1
1760,unknown,True,BUSINESS,OTHER,1
1761,unknown,True,SPORTS,TEMPORAL,1
1764,unknown,True,TECHNOLOGY,OTHER,3
1766,unknown,True,BUSINESS,NUMERICAL,2
1769,unknown,True,POLITICS,OTHER,2
177,unknown,True,SPORTS,NUMERICAL,1
1770,unknown,True,LITERATURE,IDENTITY,2
1772,unknown,True,POLITICS,IDENTITY,3
1773,unknown,True,LITERATURE,IDENTITY,0
1776,unknown,True,EDUCATION,IDENTITY,0
1777,unknown,True,BUSINESS,OTHER,3
1782,unknown,True,BUSINESS,NUMERICAL,1
1783,unknown,True,SPORTS,NUMERICAL,0
1784,unknown,True,OTHER,OTHER,3
1785,unknown,True,POLITICS,IDENTITY,1
1786,unknown,True,MOVIES_AND_TV,OTHER,4
1787,unknown,True,BUSINESS,IDENTITY,3
1789,unknown,True,OTHER,TEMPORAL,1
1792,unknown,True,SPORTS,IDENTITY,0
1794,unknown,True,POLITICS,NUMERICAL,3
1795,unknown,True,POLITICS,OTHER,1
1797,unknown,True,HEALTH,NUMERICAL,4
1801,unknown,True,SPORTS,IDENTITY,3
1802,unknown,True,LITERATURE,NUMERICAL,0
1806,unknown,True,POLITICS,IDENTITY,3
1807,unknown,True,MUSIC,OTHER,1
1809,unknown,True,SPORTS,TEMPORAL,0
181,unknown,True,SPORTS,OTHER,1
1811,unknown,True,OTHER,IDENTITY,1
1818,unknown,True,SPORTS,OTHER,3
1819,unknown,True,MUSIC,TEMPORAL,2
182,unknown,True,LITERATURE,IDENTITY,1
1820,unknown,True,BUSINESS,OTHER,1
1821,unknown,True,POLITICS,OTHER,1
1822,unknown,True,MOVIES_AND_TV,TEMPORAL,2
1825,unknown,True,SPORTS,TEMPORAL,0
1826,unknown,True,OTHER,NUMERICAL,1
1829,unknown,True,POLITICS,IDENTITY,2
183,unknown,True,MOVIES_AND_TV,IDENTITY,3
1831,unknown,True,POLITICS,OTHER,3
1834,unknown,True,TECHNOLOGY,IDENTITY,0
1835,unknown,True,POLITICS,OTHER,0
1839,unknown,True,POLITICS,OTHER,2
1842,unknown,True,POLITICS,NUMERICAL,2
1853,unknown,True,POLITICS,TEMPORAL,4
1855,unknown,True,SPORTS,OTHER,1
186,unknown,True,SPORTS,NUMERICAL,2
1860,unknown,True,SPORTS,OTHER,1
1861,unknown,True,SCIENCE,NUMERICAL,2
1864,unknown,True,SPORTS,OTHER,3
1867,unknown,True,MOVIES_AND_TV,OTHER,3
1868,unknown,True,SPORTS,TEMPORAL,3
1869,unknown,True,TECHNOLOGY,OTHER,2
187,unknown,True,SPORTS,TEMPORAL,3
1871,unknown,True,BUSINESS,OTHER,4
1872,unknown,True,MOVIES_AND_TV,TEMPORAL,0
1875,unknown,True,OTHER,TEMPORAL,2
1879,unknown,True,POLITICS,OTHER,0
1881,unknown,True,POLITICS,OTHER,2
1882,unknown,True,POLITICS,OTHER,2
1883,unknown,True,PHILOSOPHY,OTHER,1
1884,unknown,True,MOVIES_AND_TV,OTHER,3
1886,unknown,True,OTHER,IDENTITY,3
189,unknown,True,POLITICS,IDENTITY,1
1892,unknown,True,BUSINESS,SPATIAL,2
1896,unknown,True,MUSIC,IDENTITY,3
1900,unknown,True,MUSIC,IDENTITY,2
1902,unknown,True,OTHER,OTHER,3
1903,unknown,True,MOVIES_AND_TV,TEMPORAL,1
1905,unknown,True,POLITICS,NUMERICAL,1
1906,unknown,True,MUSIC,IDENTITY,1
1907,unknown,True,MUSIC,NUMERICAL,4
1909,unknown,True,MUSIC,TEMPORAL,2
1911,unknown,True,MUSIC,IDENTITY,3
1918,unknown,False,MUSIC,OTHER,0
1920,unknown,False,SPORTS,OTHER,3
1921,unknown,True,POLITICS,NUMERICAL,3
1927,unknown,True,POLITICS,NUMERICAL,0
1928,unknown,True,MUSIC,OTHER,3
1929,unknown,True,OTHER,SPATIAL,3
1930,unknown,True,MUSIC,NUMERICAL,1
1931,unknown,True,SPORTS,IDENTITY,1
1935,unknown,True,MUSIC,NUMERICAL,2
1936,unknown,True,POLITICS,NUMERICAL,3
194,unknown,True,SPORTS,NUMERICAL,2
1940,unknown,True,LITERATURE,OTHER,3
1941,unknown,True,OTHER,TEMPORAL,1
1943,unknown,True,POLITICS,SPATIAL,3
1947,unknown,True,MUSIC,OTHER,2
1948,unknown,True,POLITICS,SPATIAL,2
1950,unknown,True,POLITICS,IDENTITY,2
1951,unknown,True,MOVIES_AND_TV,OTHER,1
1952,unknown,True,BUSINESS,OTHER,1
1953,unknown,True,POLITICS,NUMERICAL,2
1954,unknown,True,MUSIC,IDENTITY,1
1955,unknown,True,POLITICS,NUMERICAL,1
1962,unknown,True,SPORTS,OTHER,2
1965,unknown,True,POLITICS,OTHER,3
1967,unknown,True,SPORTS,OTHER,2
1970,unknown,True,BUSINESS,IDENTITY,0
1971,unknown,True,MOVIES_AND_TV,TEMPORAL,0
1977,unknown,True,LITERATURE,IDENTITY,1
1978,unknown,True,OTHER,OTHER,3
198,unknown,True,OTHER,OTHER,3
1981,unknown,False,MUSIC,TEMPORAL,0
1983,unknown,True,OTHER,IDENTITY,2
1984,unknown,True,MUSIC,OTHER,2
1985,unknown,True,BUSINESS,OTHER,1
1986,unknown,True,MOVIES_AND_TV,IDENTITY,1
1987,unknown,True,SPORTS,OTHER,3
1988,unknown,True,MUSIC,TEMPORAL,3
1989,unknown,True,POLITICS,NUMERICAL,2
1990,unknown,True,MOVIES_AND_TV,OTHER,3
1991,unknown,True,MUSIC,NUMERICAL,1
1996,unknown,True,OTHER,SPATIAL,3
1998,unknown,True,MOVIES_AND_TV,OTHER,2
20,unknown,True,POLITICS,NUMERICAL,1
2000,unknown,True,OTHER,SPATIAL,3
2002,unknown,True,POLITICS,IDENTITY,2
2004,unknown,True,MOVIES_AND_TV,OTHER,2
2005,unknown,True,MOVIES_AND_TV,OTHER,4
2013,unknown,True,SPORTS,TEMPORAL,2
2016,unknown,True,BUSINESS,OTHER,0
2020,unknown,True,MOVIES_AND_TV,TEMPORAL,1
2021,unknown,True,OTHER,OTHER,2
2022,unknown,True,POLITICS,IDENTITY,3
