expanded_sample_id,question_id,source_model,response_index,true_faithfulness_label,predicted_faithfulness_label,faithfulness_score,threshold,aggregation_strategy,claim_count,correct
case_b15cd694b5adfcc0,1292,Llama-2-7b-chat-hf,0,0,1,0.93701171875,0.12000000000000001,max_entail,1,False
case_d46ec8757596c7f2,1292,Mistral-7B-Instruct-v0.1,2,0,1,0.8095703125,0.12000000000000001,max_entail,1,False
case_700fab6baf3e41cd,1292,Llama-2-7b-chat-hf,0,1,0,0.0302886962890625,0.12000000000000001,max_entail,1,False
case_1fe94b7dc93576a0,1292,Llama-3.1-8B-Instruct,1,1,0,0.0028896331787109375,0.12000000000000001,max_entail,1,False
case_9a948b04722b1ad5,1292,Mistral-7B-Instruct-v0.3,3,1,0,0.006500244140625,0.12000000000000001,max_entail,1,False
case_f5d7e314b3670ae5,1927,Llama-2-7b-chat-hf,0,1,0,0.0130767822265625,0.12000000000000001,max_entail,2,False
case_8beace2a75074d84,1927,Llama-3.1-8B-Instruct,1,1,0,0.005039215087890625,0.12000000000000001,max_entail,1,False
case_ab0b49e3817c3ae7,1927,Mistral-7B-Instruct-v0.1,2,1,0,0.0150299072265625,0.12000000000000001,max_entail,1,False
case_32f0b4b07c2908ea,1927,Mistral-7B-Instruct-v0.3,3,1,0,0.015289306640625,0.12000000000000001,max_entail,1,False
case_32fb919c8558d024,1376,Llama-3.1-8B-Instruct,1,1,0,0.02044677734375,0.12000000000000001,max_entail,1,False
case_7f6c7a0bc44e2c56,1376,Mistral-7B-Instruct-v0.1,2,0,1,0.1842041015625,0.12000000000000001,max_entail,1,False
case_a4c8c41b8f86e7cd,161,Mistral-7B-Instruct-v0.1,2,0,1,0.50927734375,0.12000000000000001,max_entail,1,False
case_a3ec06d610c52a1e,777,Llama-2-7b-chat-hf,0,1,0,0.0304412841796875,0.12000000000000001,max_entail,2,False
case_e0e2fe17b46f7951,777,Llama-3.1-8B-Instruct,1,1,0,0.02374267578125,0.12000000000000001,max_entail,1,False
case_fafe4b7ce12817fb,777,Mistral-7B-Instruct-v0.1,2,1,0,0.07745361328125,0.12000000000000001,max_entail,1,False
case_79f75378eaae6c2b,777,Llama-2-7b-chat-hf,0,0,1,0.186767578125,0.12000000000000001,max_entail,2,False
case_67ec3c3858b54f56,777,Llama-3.1-8B-Instruct,1,1,0,0.051971435546875,0.12000000000000001,max_entail,1,False
case_6a63eb3ca8347ec0,777,Mistral-7B-Instruct-v0.1,2,0,1,0.19921875,0.12000000000000001,max_entail,1,False
case_7bb22978ab759173,777,Mistral-7B-Instruct-v0.3,3,0,1,0.263916015625,0.12000000000000001,max_entail,2,False
case_88c035981a5475ae,1613,Mistral-7B-Instruct-v0.1,2,0,1,0.92626953125,0.12000000000000001,max_entail,1,False
case_a0c1b56678d5c406,782,Llama-2-7b-chat-hf,0,0,1,0.82861328125,0.12000000000000001,max_entail,1,False
case_f9f9f1c01a5a2bf8,782,Llama-3.1-8B-Instruct,1,1,0,0.014984130859375,0.12000000000000001,max_entail,1,False
case_fca0be47fca80091,782,Mistral-7B-Instruct-v0.1,2,1,0,0.00290679931640625,0.12000000000000001,max_entail,1,False
case_915ec8036aefe677,782,Mistral-7B-Instruct-v0.3,3,1,0,0.0030078887939453125,0.12000000000000001,max_entail,1,False
case_2c643706893289f6,1472,Llama-2-7b-chat-hf,0,0,1,0.234375,0.12000000000000001,max_entail,3,False
case_ec264209ce393ccf,1472,Llama-2-7b-chat-hf,0,0,1,0.82421875,0.12000000000000001,max_entail,4,False
case_5c548dd0f5a254e9,1472,Llama-3.1-8B-Instruct,1,1,0,0.006946563720703125,0.12000000000000001,max_entail,2,False
case_f372309067d28c4c,1472,Mistral-7B-Instruct-v0.1,2,1,0,0.00107574462890625,0.12000000000000001,max_entail,1,False
case_43634d5832af3394,1472,Mistral-7B-Instruct-v0.3,3,1,0,0.004425048828125,0.12000000000000001,max_entail,2,False
case_8136d5b18125ae56,2000,Llama-3.1-8B-Instruct,1,1,0,0.02313232421875,0.12000000000000001,max_entail,1,False
case_32eada57532c76b8,2000,Llama-2-7b-chat-hf,0,1,0,0.0025501251220703125,0.12000000000000001,max_entail,2,False
case_d312aa7b0ef92ab6,2000,Llama-3.1-8B-Instruct,1,1,0,0.0030498504638671875,0.12000000000000001,max_entail,1,False
case_94cc1363573c33e6,2000,Mistral-7B-Instruct-v0.1,2,1,0,0.0013561248779296875,0.12000000000000001,max_entail,1,False
case_254484aaf1f3c246,2000,Mistral-7B-Instruct-v0.3,3,1,0,0.005878448486328125,0.12000000000000001,max_entail,1,False
case_84b73679842c4a48,713,Llama-2-7b-chat-hf,0,1,0,0.104736328125,0.12000000000000001,max_entail,2,False
case_aa94ea7da7799e5e,713,Llama-3.1-8B-Instruct,1,1,0,0.03790283203125,0.12000000000000001,max_entail,2,False
case_1dadd56cd593d8cd,713,Mistral-7B-Instruct-v0.1,2,1,0,0.0450439453125,0.12000000000000001,max_entail,2,False
case_a31ad346990e2347,713,Mistral-7B-Instruct-v0.3,3,1,0,0.050537109375,0.12000000000000001,max_entail,2,False
case_a9584bf63d519b16,713,Llama-3.1-8B-Instruct,1,1,0,0.006809234619140625,0.12000000000000001,max_entail,1,False
case_69a60efcfb94f133,265,Mistral-7B-Instruct-v0.3,3,1,0,0.034027099609375,0.12000000000000001,max_entail,1,False
case_39019ccdd0091574,265,Llama-2-7b-chat-hf,0,1,0,0.0149078369140625,0.12000000000000001,max_entail,1,False
case_0d3e4f658855220f,265,Llama-3.1-8B-Instruct,1,1,0,0.0038909912109375,0.12000000000000001,max_entail,1,False
case_c6b4896d63d7be05,265,Mistral-7B-Instruct-v0.1,2,1,0,0.0024127960205078125,0.12000000000000001,max_entail,1,False
case_f730fe36bad7d0a2,265,Mistral-7B-Instruct-v0.3,3,1,0,0.0011138916015625,0.12000000000000001,max_entail,1,False
case_a4935c7614b4044e,1193,Llama-3.1-8B-Instruct,1,1,0,0.003326416015625,0.12000000000000001,max_entail,2,False
case_e24b544d2f03e322,798,Llama-2-7b-chat-hf,0,1,0,0.0036563873291015625,0.12000000000000001,max_entail,2,False
case_8a65b773d1a5a281,798,Llama-3.1-8B-Instruct,1,1,0,0.0099334716796875,0.12000000000000001,max_entail,1,False
case_d6ab9c58e51028fc,798,Mistral-7B-Instruct-v0.1,2,1,0,0.00388336181640625,0.12000000000000001,max_entail,1,False
case_a7117ddb09a10d38,798,Mistral-7B-Instruct-v0.3,3,1,0,0.00592803955078125,0.12000000000000001,max_entail,2,False
case_75600dc5e0848337,798,Llama-3.1-8B-Instruct,1,1,0,0.01233673095703125,0.12000000000000001,max_entail,2,False
case_ffaee7d8674d1415,798,Mistral-7B-Instruct-v0.3,3,1,0,0.0095367431640625,0.12000000000000001,max_entail,1,False
case_74a46485b6ad3371,1971,Llama-2-7b-chat-hf,0,1,0,0.0019216537475585938,0.12000000000000001,max_entail,2,False
case_64a3db8a832df366,1971,Llama-3.1-8B-Instruct,1,1,0,0.0022678375244140625,0.12000000000000001,max_entail,1,False
case_b9efa95a88e75191,1971,Mistral-7B-Instruct-v0.1,2,1,0,0.00041675567626953125,0.12000000000000001,max_entail,1,False
case_ca52b1ef36c75933,1971,Mistral-7B-Instruct-v0.3,3,1,0,0.0026950836181640625,0.12000000000000001,max_entail,1,False
case_598d18d34c393c20,1182,Llama-2-7b-chat-hf,0,0,1,0.9853515625,0.12000000000000001,max_entail,4,False
case_d93bd7e9800b72da,1182,Llama-3.1-8B-Instruct,1,1,0,0.005397796630859375,0.12000000000000001,max_entail,1,False
case_8fb22eed7816a777,1182,Mistral-7B-Instruct-v0.3,3,1,0,0.0091705322265625,0.12000000000000001,max_entail,1,False
case_724f61fba72ee33e,389,Mistral-7B-Instruct-v0.1,2,0,1,0.92578125,0.12000000000000001,max_entail,1,False
case_ebfb93c393ccaaab,389,Mistral-7B-Instruct-v0.1,2,1,0,0.000362396240234375,0.12000000000000001,max_entail,1,False
case_eb6e5d4fee0fae8b,81,Llama-2-7b-chat-hf,0,1,0,0.00626373291015625,0.12000000000000001,max_entail,1,False
case_387b24c1d98dd079,81,Llama-3.1-8B-Instruct,1,1,0,0.003261566162109375,0.12000000000000001,max_entail,1,False
case_0f465c9abebe875a,81,Mistral-7B-Instruct-v0.3,3,1,0,0.029998779296875,0.12000000000000001,max_entail,1,False
case_dfd3b6976dae7167,81,Mistral-7B-Instruct-v0.1,2,1,0,0.028289794921875,0.12000000000000001,max_entail,1,False
case_fa72bfd922300e60,473,Llama-2-7b-chat-hf,0,1,0,0.0731201171875,0.12000000000000001,max_entail,1,False
case_e2ad9c1166e8cc24,473,Llama-3.1-8B-Instruct,1,1,0,0.06591796875,0.12000000000000001,max_entail,1,False
case_bb523eb6347b4822,473,Llama-3.1-8B-Instruct,1,1,0,0.0093536376953125,0.12000000000000001,max_entail,1,False
case_7ff31b7f63d17af6,473,Mistral-7B-Instruct-v0.1,2,1,0,0.004528045654296875,0.12000000000000001,max_entail,1,False
case_9171a8fe56a26530,473,Mistral-7B-Instruct-v0.3,3,1,0,0.0033416748046875,0.12000000000000001,max_entail,1,False
case_8a81883b57d9702e,43,Llama-3.1-8B-Instruct,1,1,0,0.0107269287109375,0.12000000000000001,max_entail,1,False
case_1c5238bbbaa50760,43,Mistral-7B-Instruct-v0.3,3,1,0,0.0076751708984375,0.12000000000000001,max_entail,1,False
case_6e0522f504b22da5,43,Mistral-7B-Instruct-v0.1,2,1,0,0.09735107421875,0.12000000000000001,max_entail,1,False
case_9ac0d35cfc7d2bec,43,Mistral-7B-Instruct-v0.3,3,1,0,0.015625,0.12000000000000001,max_entail,1,False
case_e91d41042051bca9,1238,Llama-2-7b-chat-hf,0,0,1,0.2064208984375,0.12000000000000001,max_entail,1,False
case_c0c430a0c23c7ec5,1238,Mistral-7B-Instruct-v0.1,2,0,1,0.402099609375,0.12000000000000001,max_entail,1,False
case_dd2a6b73644d5781,1238,Llama-3.1-8B-Instruct,1,1,0,0.0015840530395507812,0.12000000000000001,max_entail,1,False
case_b9d0e0f1a03f1c92,1238,Mistral-7B-Instruct-v0.1,2,1,0,0.0016374588012695312,0.12000000000000001,max_entail,1,False
case_67f52b48af42cf42,1238,Mistral-7B-Instruct-v0.3,3,1,0,0.0185394287109375,0.12000000000000001,max_entail,1,False
case_2f77bc328a100d8c,569,Mistral-7B-Instruct-v0.1,2,1,0,0.052337646484375,0.12000000000000001,max_entail,1,False
case_f5d9997fcc339022,569,Llama-2-7b-chat-hf,0,0,1,0.191650390625,0.12000000000000001,max_entail,1,False
case_37df2588d91ec50a,569,Llama-3.1-8B-Instruct,1,1,0,0.0301055908203125,0.12000000000000001,max_entail,1,False
case_b4eb3a09f5d193db,569,Mistral-7B-Instruct-v0.1,2,1,0,0.003795623779296875,0.12000000000000001,max_entail,1,False
case_d99c343ca0adb095,569,Mistral-7B-Instruct-v0.3,3,1,0,0.0027942657470703125,0.12000000000000001,max_entail,2,False
case_6c5b3e9fc22b5010,514,Mistral-7B-Instruct-v0.3,3,1,0,0.043426513671875,0.12000000000000001,max_entail,1,False
case_f48a2a4e315961eb,514,Mistral-7B-Instruct-v0.1,2,0,1,0.66943359375,0.12000000000000001,max_entail,2,False
case_40ccf23b8598f29a,514,Mistral-7B-Instruct-v0.3,3,1,0,0.008056640625,0.12000000000000001,max_entail,1,False
case_4e206cf659fb2192,1579,Llama-2-7b-chat-hf,0,0,1,0.261474609375,0.12000000000000001,max_entail,1,False
case_241395841a818cf9,1579,Llama-3.1-8B-Instruct,1,1,0,0.03936767578125,0.12000000000000001,max_entail,1,False
case_a6c141a4707fd425,1579,Mistral-7B-Instruct-v0.1,2,1,0,0.0165863037109375,0.12000000000000001,max_entail,1,False
case_6cb7893f55eca11b,1579,Mistral-7B-Instruct-v0.3,3,1,0,0.027069091796875,0.12000000000000001,max_entail,1,False
case_08060a17b4e0ed80,1579,Llama-3.1-8B-Instruct,1,1,0,0.000408172607421875,0.12000000000000001,max_entail,1,False
case_b114ff78f71be1a8,1579,Mistral-7B-Instruct-v0.3,3,1,0,0.012939453125,0.12000000000000001,max_entail,1,False
case_92f54ec512847f72,39,Llama-3.1-8B-Instruct,1,1,0,0.0299530029296875,0.12000000000000001,max_entail,1,False
case_a5688b2f21d92c19,39,Mistral-7B-Instruct-v0.1,2,1,0,0.005329132080078125,0.12000000000000001,max_entail,1,False
case_832c0fb54126f107,39,Mistral-7B-Instruct-v0.3,3,1,0,0.004230499267578125,0.12000000000000001,max_entail,1,False
case_2d35f68109b03d11,198,Llama-2-7b-chat-hf,0,1,0,0.043121337890625,0.12000000000000001,max_entail,1,False
case_3da66fac4d54413c,198,Llama-2-7b-chat-hf,0,0,1,0.73095703125,0.12000000000000001,max_entail,1,False
case_6017b21f5c8d3a33,198,Llama-3.1-8B-Instruct,1,1,0,0.019378662109375,0.12000000000000001,max_entail,1,False
case_5cd4fc6a41f643e6,198,Mistral-7B-Instruct-v0.1,2,0,1,0.391357421875,0.12000000000000001,max_entail,5,False
case_13a9259d3aacd53d,198,Mistral-7B-Instruct-v0.3,3,0,1,0.2076416015625,0.12000000000000001,max_entail,3,False
case_f6349304002b397f,1374,Llama-3.1-8B-Instruct,1,1,0,0.0618896484375,0.12000000000000001,max_entail,1,False
case_722cb01ffe423027,1374,Llama-2-7b-chat-hf,0,0,1,0.1845703125,0.12000000000000001,max_entail,2,False
case_f8dabdf57eb08036,1374,Llama-3.1-8B-Instruct,1,1,0,0.0007638931274414062,0.12000000000000001,max_entail,1,False
case_fc988ee06975dbe4,613,Llama-3.1-8B-Instruct,1,1,0,0.042449951171875,0.12000000000000001,max_entail,1,False
case_d2df38815efa2122,613,Mistral-7B-Instruct-v0.1,2,1,0,0.0206298828125,0.12000000000000001,max_entail,1,False
case_e9662139ee8776e2,613,Mistral-7B-Instruct-v0.3,3,1,0,0.01183319091796875,0.12000000000000001,max_entail,1,False
case_a33b965cd00d0741,613,Llama-2-7b-chat-hf,0,1,0,0.01328277587890625,0.12000000000000001,max_entail,1,False
case_26fea19fc779472e,613,Llama-3.1-8B-Instruct,1,1,0,0.005641937255859375,0.12000000000000001,max_entail,1,False
case_a094f2f1843e83fd,613,Mistral-7B-Instruct-v0.1,2,1,0,0.003116607666015625,0.12000000000000001,max_entail,1,False
case_989d65169e61baf2,613,Mistral-7B-Instruct-v0.3,3,1,0,0.020263671875,0.12000000000000001,max_entail,1,False
case_21f4a7bcf8258ab5,994,Mistral-7B-Instruct-v0.1,2,1,0,0.0008902549743652344,0.12000000000000001,max_entail,1,False
case_9d1d145f2f0304ca,994,Mistral-7B-Instruct-v0.3,3,1,0,0.0008673667907714844,0.12000000000000001,max_entail,1,False
case_51bc313140d6699c,994,Llama-2-7b-chat-hf,0,0,1,0.59228515625,0.12000000000000001,max_entail,1,False
case_c8718e49736ef292,994,Mistral-7B-Instruct-v0.1,2,1,0,0.00628662109375,0.12000000000000001,max_entail,1,False
case_76021a5f795b24cd,994,Mistral-7B-Instruct-v0.3,3,1,0,0.064453125,0.12000000000000001,max_entail,2,False
case_e9888c1a25f29255,181,Llama-2-7b-chat-hf,0,1,0,0.03631591796875,0.12000000000000001,max_entail,1,False
case_ee38456325c3384b,181,Mistral-7B-Instruct-v0.1,2,1,0,0.01264190673828125,0.12000000000000001,max_entail,1,False
case_8d440f89d695c6ec,181,Mistral-7B-Instruct-v0.3,3,1,0,0.021636962890625,0.12000000000000001,max_entail,1,False
case_b4ec479f34e959c6,181,Llama-3.1-8B-Instruct,1,1,0,0.00041103363037109375,0.12000000000000001,max_entail,1,False
case_ed99bd3d7fc7acf7,181,Mistral-7B-Instruct-v0.1,2,1,0,0.003108978271484375,0.12000000000000001,max_entail,2,False
case_c924fa49523096e2,181,Mistral-7B-Instruct-v0.3,3,1,0,0.059234619140625,0.12000000000000001,max_entail,2,False
case_ee1562d833bc4d79,1673,Llama-2-7b-chat-hf,0,0,1,0.1778564453125,0.12000000000000001,max_entail,1,False
case_21e89e3332e0a479,1673,Llama-3.1-8B-Instruct,1,1,0,0.056488037109375,0.12000000000000001,max_entail,1,False
case_4c1b3ce48040a6c8,1673,Llama-2-7b-chat-hf,0,0,1,0.2371826171875,0.12000000000000001,max_entail,1,False
case_36cba31defbf22fa,1673,Mistral-7B-Instruct-v0.3,3,1,0,0.004474639892578125,0.12000000000000001,max_entail,1,False
case_b8eeb02e055e3e56,468,Llama-2-7b-chat-hf,0,1,0,0.020721435546875,0.12000000000000001,max_entail,2,False
case_b5d297411423860b,468,Llama-3.1-8B-Instruct,1,1,0,0.0080413818359375,0.12000000000000001,max_entail,2,False
case_234c766ec3e380d0,144,Llama-3.1-8B-Instruct,1,1,0,0.0423583984375,0.12000000000000001,max_entail,1,False
case_1f88a0d32be67482,144,Mistral-7B-Instruct-v0.3,3,1,0,0.0416259765625,0.12000000000000001,max_entail,2,False
case_3f4424b1497767b3,2097,Llama-2-7b-chat-hf,0,0,1,0.359619140625,0.12000000000000001,max_entail,2,False
case_d52fff09ad790e81,2097,Mistral-7B-Instruct-v0.3,3,1,0,0.010528564453125,0.12000000000000001,max_entail,1,False
case_dbc98ba26bef02e2,2097,Llama-3.1-8B-Instruct,1,1,0,0.0732421875,0.12000000000000001,max_entail,1,False
case_5012e4789c5cefe6,2097,Mistral-7B-Instruct-v0.1,2,1,0,0.02032470703125,0.12000000000000001,max_entail,1,False
case_751bbc6efb077994,1766,Llama-3.1-8B-Instruct,1,1,0,0.00707244873046875,0.12000000000000001,max_entail,1,False
case_4b7e6866858cea02,1766,Mistral-7B-Instruct-v0.1,2,0,1,0.5703125,0.12000000000000001,max_entail,3,False
case_8d1c3c4e923bcaae,1834,Llama-2-7b-chat-hf,0,1,0,0.00443267822265625,0.12000000000000001,max_entail,2,False
case_3c93f9108fae8528,1834,Llama-3.1-8B-Instruct,1,1,0,0.005130767822265625,0.12000000000000001,max_entail,1,False
case_105c2b4c31155638,1834,Mistral-7B-Instruct-v0.1,2,1,0,0.004596710205078125,0.12000000000000001,max_entail,2,False
case_d35446c2816caf73,1834,Mistral-7B-Instruct-v0.3,3,1,0,0.0081787109375,0.12000000000000001,max_entail,1,False
case_b3ed26935c205c11,519,Llama-2-7b-chat-hf,0,0,1,0.96923828125,0.12000000000000001,max_entail,4,False
case_9abfcc5051a3f142,519,Llama-3.1-8B-Instruct,1,1,0,0.02740478515625,0.12000000000000001,max_entail,1,False
case_4738008c2ee4a58a,519,Mistral-7B-Instruct-v0.1,2,0,1,0.127685546875,0.12000000000000001,max_entail,1,False
case_fe86f04656d1dfe9,519,Mistral-7B-Instruct-v0.3,3,1,0,0.0255279541015625,0.12000000000000001,max_entail,1,False
case_53f8747dec5a0ee5,519,Llama-3.1-8B-Instruct,1,1,0,0.00661468505859375,0.12000000000000001,max_entail,2,False
case_c07a50bc28bbb78b,519,Mistral-7B-Instruct-v0.3,3,1,0,0.00506591796875,0.12000000000000001,max_entail,2,False
case_03519e648e58bec1,1628,Llama-2-7b-chat-hf,0,0,1,0.401611328125,0.12000000000000001,max_entail,3,False
case_5ffc543bece5c5d0,1628,Llama-2-7b-chat-hf,0,1,0,0.031982421875,0.12000000000000001,max_entail,2,False
case_67580ca8a7fba5c9,1628,Llama-3.1-8B-Instruct,1,1,0,0.013214111328125,0.12000000000000001,max_entail,1,False
case_572268987088358e,1628,Mistral-7B-Instruct-v0.1,2,0,1,0.1583251953125,0.12000000000000001,max_entail,1,False
case_3bf44534c7796c95,1628,Mistral-7B-Instruct-v0.3,3,1,0,0.0018606185913085938,0.12000000000000001,max_entail,1,False
case_9e86c23973cb12e3,945,Llama-3.1-8B-Instruct,1,1,0,0.01035308837890625,0.12000000000000001,max_entail,2,False
case_091ce792d47e296d,945,Mistral-7B-Instruct-v0.1,2,1,0,0.0002925395965576172,0.12000000000000001,max_entail,1,False
case_58c0f634147a7202,945,Mistral-7B-Instruct-v0.3,3,1,0,0.005275726318359375,0.12000000000000001,max_entail,1,False
case_30817528f02ed9f5,1639,Llama-3.1-8B-Instruct,1,1,0,0.0191192626953125,0.12000000000000001,max_entail,1,False
case_bd6f1cef0eb30ad3,1639,Mistral-7B-Instruct-v0.3,3,1,0,0.067138671875,0.12000000000000001,max_entail,1,False
case_007906fcf55e7bf3,1639,Llama-2-7b-chat-hf,0,0,1,0.5400390625,0.12000000000000001,max_entail,1,False
case_9e195cda58a3fb07,1639,Llama-3.1-8B-Instruct,1,1,0,0.01436614990234375,0.12000000000000001,max_entail,1,False
case_be492a3c53e26807,1639,Mistral-7B-Instruct-v0.1,2,1,0,0.00713348388671875,0.12000000000000001,max_entail,1,False
case_04f70af022e17546,1639,Mistral-7B-Instruct-v0.3,3,1,0,0.007659912109375,0.12000000000000001,max_entail,1,False
case_5390eccea4b686c9,1110,Llama-2-7b-chat-hf,0,0,1,0.25390625,0.12000000000000001,max_entail,1,False
case_d7ceb56cc79deae0,1110,Llama-3.1-8B-Instruct,1,1,0,0.07342529296875,0.12000000000000001,max_entail,1,False
case_6ee7c1ccde2f3385,1110,Mistral-7B-Instruct-v0.3,3,1,0,0.00904083251953125,0.12000000000000001,max_entail,1,False
case_7d20bdc4785ab99c,1488,Llama-2-7b-chat-hf,0,0,1,0.280517578125,0.12000000000000001,max_entail,2,False
case_423da9e6c7ab2836,1488,Llama-3.1-8B-Instruct,1,1,0,0.005260467529296875,0.12000000000000001,max_entail,1,False
case_7509702632381c5b,1488,Mistral-7B-Instruct-v0.1,2,0,1,0.8984375,0.12000000000000001,max_entail,2,False
case_552fed647c5ba486,1488,Mistral-7B-Instruct-v0.3,3,1,0,0.004642486572265625,0.12000000000000001,max_entail,1,False
case_56c91dc55a51995e,636,Llama-2-7b-chat-hf,0,0,1,0.93994140625,0.12000000000000001,max_entail,4,False
case_9cdff7b57da5510d,636,Mistral-7B-Instruct-v0.1,2,1,0,0.017181396484375,0.12000000000000001,max_entail,2,False
case_d65975798e9d1554,636,Llama-3.1-8B-Instruct,1,1,0,0.0017347335815429688,0.12000000000000001,max_entail,1,False
case_566debb9ad7faf4c,636,Mistral-7B-Instruct-v0.3,3,1,0,0.00913238525390625,0.12000000000000001,max_entail,2,False
case_143692780f287b0c,1511,Llama-2-7b-chat-hf,0,1,0,0.0299835205078125,0.12000000000000001,max_entail,3,False
case_8fe45ef73bd1d3d7,1511,Mistral-7B-Instruct-v0.1,2,1,0,0.0304107666015625,0.12000000000000001,max_entail,1,False
case_4ebc14bf2d6be973,1511,Mistral-7B-Instruct-v0.3,3,1,0,0.0242462158203125,0.12000000000000001,max_entail,1,False
case_75c4663a9edca98c,1466,Llama-2-7b-chat-hf,0,0,1,0.671875,0.12000000000000001,max_entail,2,False
case_8d7faf0de387c8c7,1466,Llama-3.1-8B-Instruct,1,1,0,0.0086669921875,0.12000000000000001,max_entail,2,False
case_122c54f2ca78dbc3,1466,Mistral-7B-Instruct-v0.1,2,0,1,0.52734375,0.12000000000000001,max_entail,2,False
case_1b1a0abdd40cedec,1466,Llama-3.1-8B-Instruct,1,1,0,0.004974365234375,0.12000000000000001,max_entail,2,False
case_633649e65a75a180,479,Llama-3.1-8B-Instruct,1,1,0,0.073974609375,0.12000000000000001,max_entail,2,False
case_36e255913df5019e,479,Llama-2-7b-chat-hf,0,0,1,0.5517578125,0.12000000000000001,max_entail,4,False
case_aea500ad5a6d7181,479,Llama-3.1-8B-Instruct,1,1,0,0.0010328292846679688,0.12000000000000001,max_entail,1,False
case_3782b9a0805a5a84,479,Mistral-7B-Instruct-v0.1,2,1,0,0.00281524658203125,0.12000000000000001,max_entail,2,False
case_3a9d926786ba4426,479,Mistral-7B-Instruct-v0.3,3,1,0,0.004669189453125,0.12000000000000001,max_entail,1,False
case_417bb5a7a152dbd0,447,Llama-2-7b-chat-hf,0,1,0,0.051727294921875,0.12000000000000001,max_entail,2,False
case_833eb427b8738fdd,447,Mistral-7B-Instruct-v0.3,3,1,0,0.0665283203125,0.12000000000000001,max_entail,1,False
