sample_id,source_model,gold_label,gate_prob_lr,gate_prob_hg,max_prob,answer_len
case_9d13fb8e70c896be,Llama-2-7b-chat-hf,0,0.965546,0.987786,0.454841,1081
case_06b9302eb2351e38,Llama-3.1-8B-Instruct,0,0.579447,0.563026,0.394284,388
case_c78fe197bdf1673d,Mistral-7B-Instruct-v0.1,1,0.90956,0.911432,0.444678,854
case_c805ae50fb187572,Mistral-7B-Instruct-v0.3,1,0.695519,0.785856,0.40346,471
case_012586be59a1b883,Llama-2-7b-chat-hf,0,0.943178,0.94707,0.489987,1121
case_b0ac0c32f598c3b7,Llama-3.1-8B-Instruct,0,0.541011,0.569395,0.181949,373
case_ed3ce65690f738a1,Mistral-7B-Instruct-v0.1,0,0.875437,0.819887,0.488098,812
case_991f51d1dcd352b9,Mistral-7B-Instruct-v0.3,0,0.950232,0.928327,0.457073,1452
case_7edc4a142af5efae,Llama-2-7b-chat-hf,0,0.372018,0.239961,0.358732,169
case_7b0371402c775a63,Llama-3.1-8B-Instruct,0,0.53905,0.414279,0.441783,143
case_e98c89df017f5306,Mistral-7B-Instruct-v0.1,0,0.323797,0.386754,0.354366,82
case_ac0c4b0b9ac49721,Mistral-7B-Instruct-v0.3,0,0.343548,0.181855,0.375286,94
case_79c2e88ed82c2381,Llama-2-7b-chat-hf,1,0.702366,0.540654,0.425809,382
case_fc8f3823a494a1fa,Llama-3.1-8B-Instruct,0,0.256757,0.200758,0.059967,189
case_83f6bba04c6a714a,Mistral-7B-Instruct-v0.1,0,0.226694,0.04562,0.048787,184
case_f2ea22d3d28d8117,Mistral-7B-Instruct-v0.3,0,0.597099,0.555398,0.171048,395
case_19ef47667da22bae,Llama-2-7b-chat-hf,1,0.384767,0.400517,0.104215,442
case_6d8a83ccbb8897ea,Llama-3.1-8B-Instruct,1,0.2198,0.016906,0.029757,134
case_cd28205cd60a9614,Mistral-7B-Instruct-v0.1,1,0.356895,0.543558,0.098991,98
case_01152df54446869c,Mistral-7B-Instruct-v0.3,1,0.222752,0.025859,0.032025,194
case_fe0b0120b91dc0ea,Llama-2-7b-chat-hf,0,0.406113,0.57351,0.115759,469
case_e2e658440b57c948,Llama-3.1-8B-Instruct,0,0.236152,0.022008,0.041741,109
case_4caf0d24d4b81338,Mistral-7B-Instruct-v0.1,0,0.232872,0.019704,0.046228,136
case_d9cee511d276f7e4,Mistral-7B-Instruct-v0.3,0,0.233557,0.085806,0.054061,115
case_07aa6c090ff32696,Llama-2-7b-chat-hf,1,0.936174,0.706541,0.505755,1106
case_2448fbdbbebe85d5,Llama-3.1-8B-Instruct,0,0.862996,0.842847,0.322724,784
case_85aee8f3b517cabe,Mistral-7B-Instruct-v0.1,0,0.522214,0.49587,0.219945,223
case_48f030d356becc1f,Mistral-7B-Instruct-v0.3,1,0.717619,0.663859,0.330182,633
case_1483412ce24e3039,Llama-2-7b-chat-hf,1,0.965156,0.881025,0.542423,1152
case_054eb5bfcab0ebce,Llama-3.1-8B-Instruct,0,0.260368,0.423744,0.055355,432
case_a2295e53466ba448,Mistral-7B-Instruct-v0.1,1,0.831954,0.730651,0.311696,568
case_e0459f2663a24f29,Mistral-7B-Instruct-v0.3,0,0.514548,0.565722,0.131378,340
case_ad0a14a3b28234f3,Llama-2-7b-chat-hf,1,0.781935,0.849197,0.48882,557
case_81e5830f06cc1d6e,Llama-3.1-8B-Instruct,0,0.548141,0.513952,0.453912,147
case_6c965fde23fbcca0,Mistral-7B-Instruct-v0.1,1,0.776848,0.829387,0.53214,375
case_8298e3b8dc3c70a6,Mistral-7B-Instruct-v0.3,1,0.763373,0.851048,0.542383,258
case_18785aa4bb9e649a,Llama-2-7b-chat-hf,1,0.931924,0.967462,0.593805,841
case_09385c87c9fad8c5,Llama-3.1-8B-Instruct,0,0.324087,0.656023,0.109094,328
case_bedac069091c5bae,Mistral-7B-Instruct-v0.1,0,0.219506,0.125151,0.051429,207
case_41157cd086b1e397,Mistral-7B-Instruct-v0.3,1,0.748601,0.773424,0.476213,433
case_7aa8bd86a6ec6c1e,Llama-2-7b-chat-hf,1,0.701584,0.679083,0.493393,331
case_6590ed58a6c302a7,Llama-3.1-8B-Instruct,0,0.235351,0.12914,0.045205,266
case_7c01b60670d2e638,Mistral-7B-Instruct-v0.1,1,0.428358,0.414238,0.389086,136
case_00242925b8ba6e99,Mistral-7B-Instruct-v0.3,0,0.310432,0.477574,0.063827,465
case_b530c93524c1176f,Llama-2-7b-chat-hf,0,0.304106,0.068516,0.298082,105
case_a3d7e2f30312b2fa,Llama-3.1-8B-Instruct,0,0.411158,0.227241,0.321411,225
case_bbacdb216ee837a1,Mistral-7B-Instruct-v0.1,0,0.280298,0.209748,0.299126,43
case_d03ccd0117c7eb20,Mistral-7B-Instruct-v0.3,0,0.305689,0.072363,0.313476,80
case_880ddeff79b54535,Llama-2-7b-chat-hf,1,0.610388,0.380754,0.432578,272
case_87e9810bfbfe599a,Llama-3.1-8B-Instruct,0,0.226227,0.036416,0.035605,182
case_1cd5595e2650ebe0,Mistral-7B-Instruct-v0.1,1,0.718392,0.646561,0.477558,271
case_df9270ab7bda8e26,Mistral-7B-Instruct-v0.3,1,0.465572,0.221885,0.339539,221
case_fd4615f8906ff302,Llama-2-7b-chat-hf,1,0.648352,0.638889,0.271656,420
case_a865ea51ebb0d1d2,Llama-3.1-8B-Instruct,0,0.302964,0.480788,0.077683,296
case_402f7f53e5c11faf,Mistral-7B-Instruct-v0.1,1,0.553453,0.499267,0.175001,219
case_b16c532741bed369,Mistral-7B-Instruct-v0.3,0,0.256637,0.306647,0.207773,88
case_7ab6963ec3e12fcf,Llama-2-7b-chat-hf,0,0.70168,0.637355,0.265248,439
case_57838c1ad9242549,Llama-3.1-8B-Instruct,1,0.206151,0.021196,0.049516,124
case_1b75b6764d70f16f,Mistral-7B-Instruct-v0.1,0,0.226588,0.032914,0.051843,313
case_5d7d5adaff4664cb,Mistral-7B-Instruct-v0.3,0,0.216532,0.054913,0.049848,340
case_b9b609a3350558ad,Llama-2-7b-chat-hf,1,0.969809,0.976396,0.559969,1480
case_e58f9ad5226affba,Llama-3.1-8B-Instruct,0,0.696891,0.62614,0.447847,400
case_8dbcf54644d5606e,Mistral-7B-Instruct-v0.1,0,0.916147,0.949244,0.516414,607
case_0236fd7d74a854c4,Mistral-7B-Instruct-v0.3,0,0.801757,0.856448,0.495067,568
case_c699c797bb7d5d0e,Llama-2-7b-chat-hf,1,0.93891,0.929123,0.515714,1620
case_455918ff3755a42b,Llama-3.1-8B-Instruct,0,0.439386,0.648882,0.111068,262
case_d8b1801c4b09c47c,Mistral-7B-Instruct-v0.1,0,0.825237,0.867735,0.307582,444
case_c4d9af14ee1f321f,Mistral-7B-Instruct-v0.3,0,0.684721,0.636173,0.198007,397
case_b2b08f6b66dc200f,Llama-2-7b-chat-hf,1,0.293505,0.359716,0.313107,125
case_43b4caf709782b01,Llama-3.1-8B-Instruct,0,0.465294,0.370584,0.185766,132
case_5ceb82fe8c40a96e,Mistral-7B-Instruct-v0.1,1,0.298101,0.464291,0.337185,89
case_1a508591dfc3e5ce,Mistral-7B-Instruct-v0.3,0,0.624157,0.638627,0.388402,353
case_bd8c27323f43dfc3,Llama-2-7b-chat-hf,1,0.270903,0.248788,0.301855,123
case_21e2888f2eb19cb9,Llama-3.1-8B-Instruct,0,0.205085,0.0278,0.031444,212
case_45a8841f1c0fa9a4,Mistral-7B-Instruct-v0.1,0,0.414473,0.508356,0.111427,340
case_e6be8c4712009390,Mistral-7B-Instruct-v0.3,0,0.328163,0.334188,0.087163,425
case_fa380df1a10c9d0c,Llama-2-7b-chat-hf,0,0.54303,0.497629,0.393767,157
case_7d0569ce781ffdb2,Llama-3.1-8B-Instruct,0,0.250938,0.266963,0.305165,90
case_19fc00e1d60a4a7c,Mistral-7B-Instruct-v0.1,0,0.332646,0.311406,0.377836,83
case_514d82205830eb3e,Mistral-7B-Instruct-v0.3,0,0.25094,0.266963,0.305166,90
case_7aca3c621e57b5bf,Llama-2-7b-chat-hf,1,0.819348,0.386739,0.447243,430
case_231d692b2e2206c4,Llama-3.1-8B-Instruct,0,0.191305,0.065081,0.027188,120
case_7ddbfe7fe5044819,Mistral-7B-Instruct-v0.1,1,0.231247,0.13529,0.298911,83
case_81b5b656d3b9cfc0,Mistral-7B-Instruct-v0.3,1,0.682265,0.298086,0.431035,266
case_88e0eec66d1f8f43,Llama-2-7b-chat-hf,0,0.645117,0.60143,0.40828,343
case_a34eef9f9a5b6bc1,Llama-3.1-8B-Instruct,0,0.517648,0.429477,0.335099,186
case_1ab8aad23005a3ae,Mistral-7B-Instruct-v0.1,0,0.544368,0.39823,0.368454,168
case_85f98fa5fe3c2e7c,Mistral-7B-Instruct-v0.3,0,0.607882,0.570627,0.390606,203
case_7c5260e6fdeaa944,Llama-2-7b-chat-hf,1,0.698579,0.863016,0.392734,444
case_dd0552e6867f4f94,Llama-3.1-8B-Instruct,0,0.465805,0.542322,0.139374,303
case_6c98ae1d58807a2e,Mistral-7B-Instruct-v0.1,1,0.681891,0.780033,0.383754,489
case_c761098001b3a7f4,Mistral-7B-Instruct-v0.3,1,0.499451,0.709577,0.333449,276
case_ced5301afeae832f,Llama-2-7b-chat-hf,0,0.859663,0.697668,0.515546,494
case_0405478868452c6a,Llama-3.1-8B-Instruct,0,0.402192,0.400214,0.410392,131
case_097681844b927b09,Mistral-7B-Instruct-v0.1,0,0.393778,0.38584,0.419697,73
case_c60c42cabe697afb,Mistral-7B-Instruct-v0.3,0,0.386049,0.352611,0.396807,110
case_40747ccd7deda67f,Llama-2-7b-chat-hf,1,0.9047,0.959006,0.530367,727
case_1b12f777a4d85a52,Llama-3.1-8B-Instruct,0,0.211737,0.029871,0.040369,118
case_8912651bcf0a7ee9,Mistral-7B-Instruct-v0.1,0,0.207219,0.117138,0.043791,92
case_f67942903a2b9f57,Mistral-7B-Instruct-v0.3,0,0.429258,0.409258,0.113006,420
case_af6c64ee0aa80704,Llama-2-7b-chat-hf,0,0.513254,0.313909,0.203369,177
case_4f3689c5e1623103,Llama-3.1-8B-Instruct,0,0.318926,0.405417,0.072752,80
case_f256af43797d27af,Mistral-7B-Instruct-v0.1,0,0.315213,0.353976,0.07277,79
case_50232b15e685785d,Mistral-7B-Instruct-v0.3,0,0.315213,0.353976,0.07277,79
case_090f0641fff83517,Llama-2-7b-chat-hf,0,0.826881,0.720628,0.228661,929
case_a7069eaab343fc6f,Llama-3.1-8B-Instruct,0,0.222,0.084297,0.040307,270
case_cb7d9a83a69e5be4,Mistral-7B-Instruct-v0.1,0,0.228272,0.175558,0.040932,94
case_561235ccfbf62b61,Mistral-7B-Instruct-v0.3,0,0.219858,0.237764,0.037448,205
case_e5e24bc885201d59,Llama-2-7b-chat-hf,0,0.334701,0.363396,0.310441,118
case_62c0eeb1460d5214,Llama-3.1-8B-Instruct,0,0.413348,0.640306,0.379447,79
case_f1c51b2bb06c2706,Mistral-7B-Instruct-v0.1,0,0.491889,0.671643,0.402421,92
case_3ac1db9a7a518adc,Mistral-7B-Instruct-v0.3,0,0.404088,0.680264,0.368369,79
case_8eefd314cdf03269,Llama-2-7b-chat-hf,1,0.532382,0.610401,0.426961,124
case_f6175b8f8c40f12f,Llama-3.1-8B-Instruct,0,0.305891,0.429161,0.088958,362
case_36bab8ca7ff0741c,Mistral-7B-Instruct-v0.1,0,0.221365,0.036667,0.033924,184
case_d7ee2576daa1b4b7,Mistral-7B-Instruct-v0.3,0,0.217106,0.020768,0.029782,228
case_c0e5bc47620aa5c2,Llama-2-7b-chat-hf,0,0.490656,0.438493,0.205211,134
case_307faec99f4f903d,Llama-3.1-8B-Instruct,0,0.609433,0.794172,0.451283,218
case_51de5c3e91cc09b1,Mistral-7B-Instruct-v0.1,0,0.629937,0.719073,0.490483,188
case_cfe7c05c8d24cbc3,Mistral-7B-Instruct-v0.3,0,0.290465,0.28625,0.091287,211
case_2b3b15e975109c78,Llama-2-7b-chat-hf,1,0.402611,0.49974,0.350821,118
case_11cf91fe05373495,Llama-3.1-8B-Instruct,0,0.233884,0.279994,0.044585,192
case_cf7ac398d33d561b,Mistral-7B-Instruct-v0.1,1,0.607747,0.773368,0.318087,170
case_0889ebd14141272f,Mistral-7B-Instruct-v0.3,0,0.413281,0.692632,0.107621,283
case_9500fa67cf07c793,Llama-2-7b-chat-hf,0,0.688946,0.622069,0.436049,348
case_47aa9f6d6552ab96,Llama-3.1-8B-Instruct,0,0.306858,0.228775,0.323339,121
case_4e37e0abdf5f6817,Mistral-7B-Instruct-v0.1,0,0.446969,0.289627,0.380199,116
case_a5588f29c80da29f,Mistral-7B-Instruct-v0.3,0,0.42479,0.352919,0.371506,115
case_94ab1c1df83be7d0,Llama-2-7b-chat-hf,0,0.432779,0.374398,0.103754,504
case_0f9c6f6b717531ef,Llama-3.1-8B-Instruct,0,0.234005,0.066275,0.048664,228
case_57581627fd19cfe9,Mistral-7B-Instruct-v0.1,1,0.627522,0.439624,0.20332,334
case_f4e66a9f2064dea7,Mistral-7B-Instruct-v0.3,0,0.214784,0.025998,0.032942,201
case_91563ddc6b9a6958,Llama-2-7b-chat-hf,0,0.68616,0.801775,0.465201,360
case_5403cceb44f01a4a,Llama-3.1-8B-Instruct,0,0.221439,0.121344,0.239172,140
case_1ea9e3dda8c1d6ff,Mistral-7B-Instruct-v0.1,0,0.666675,0.616511,0.480926,306
case_293cc3bc39490da3,Mistral-7B-Instruct-v0.3,0,0.24818,0.225201,0.265125,146
case_9ff94b675dfc32f2,Llama-2-7b-chat-hf,0,0.414486,0.48366,0.137407,394
case_2aef678aaf4b314c,Llama-3.1-8B-Instruct,0,0.196957,0.0184,0.027321,105
case_69575e15c3d63333,Mistral-7B-Instruct-v0.1,0,0.201423,0.081241,0.037017,95
case_6f9b9858ee3edd6d,Mistral-7B-Instruct-v0.3,0,0.255336,0.083649,0.071343,326
case_6acd997cd6af6221,Llama-2-7b-chat-hf,1,0.691091,0.817365,0.282315,483
case_b8619a1e5914221f,Llama-3.1-8B-Instruct,0,0.371922,0.239562,0.340379,135
case_227b3bdcbad23401,Mistral-7B-Instruct-v0.1,0,0.419768,0.222833,0.339634,167
case_f7257d4065e12ac3,Mistral-7B-Instruct-v0.3,0,0.411817,0.234741,0.365789,144
case_40f6f7a6d6941402,Llama-2-7b-chat-hf,0,0.390506,0.572098,0.102499,526
case_8e8a5350713ce64b,Llama-3.1-8B-Instruct,0,0.21684,0.034437,0.028956,176
case_1ac405dbddb8c3e2,Mistral-7B-Instruct-v0.1,1,0.326647,0.349038,0.193235,112
case_a2d83c925331bbeb,Mistral-7B-Instruct-v0.3,0,0.223352,0.02652,0.033938,187
case_ccaa6b2dcc4fc152,Llama-2-7b-chat-hf,1,0.532811,0.451434,0.39758,328
case_99176068d2d61339,Llama-3.1-8B-Instruct,0,0.241635,0.411298,0.066129,252
case_adcd0588e045af01,Mistral-7B-Instruct-v0.1,1,0.373003,0.354984,0.359837,147
case_4267209daa9d7db4,Mistral-7B-Instruct-v0.3,0,0.347618,0.332041,0.237538,182
case_d2ad4c75f124ba28,Llama-2-7b-chat-hf,0,0.259337,0.588277,0.061783,601
case_b8238f08875f0497,Llama-3.1-8B-Instruct,0,0.196371,0.103909,0.034979,185
case_859fffa95bd76f69,Mistral-7B-Instruct-v0.1,0,0.262771,0.422358,0.063073,575
case_c69e82367095bed6,Mistral-7B-Instruct-v0.3,0,0.195867,0.075636,0.034061,281
case_6590c9099b7f4738,Llama-2-7b-chat-hf,0,0.525122,0.626452,0.417775,226
case_8115e8f735a7d64f,Llama-3.1-8B-Instruct,0,0.479535,0.468184,0.469426,87
case_fc8bc027fedcb3d7,Mistral-7B-Instruct-v0.1,0,0.561504,0.448163,0.517549,92
case_49a98863d2b5f164,Mistral-7B-Instruct-v0.3,0,0.436932,0.205633,0.412763,128
case_3ed07e884155b750,Llama-2-7b-chat-hf,1,0.404028,0.239156,0.396752,162
case_6216f523a215f453,Llama-3.1-8B-Instruct,0,0.231849,0.367109,0.049998,193
case_14fb64e0b4832610,Mistral-7B-Instruct-v0.1,1,0.525381,0.696707,0.447571,92
case_ce211879c6047568,Mistral-7B-Instruct-v0.3,0,0.750193,0.733883,0.327503,495
case_a8975b1d763a47c8,Llama-2-7b-chat-hf,1,0.385034,0.3021,0.397596,120
case_f733fe303da935fe,Llama-3.1-8B-Instruct,0,0.384255,0.357323,0.385369,110
case_f9f40ec79ba24c99,Mistral-7B-Instruct-v0.1,1,0.265784,0.192589,0.346241,73
case_6a71b74e5bfb35a5,Mistral-7B-Instruct-v0.3,1,0.25181,0.0394,0.351658,83
case_6942bff60239f2ed,Llama-2-7b-chat-hf,1,0.453236,0.192163,0.372263,143
case_f23b648c3f0274e2,Llama-3.1-8B-Instruct,0,0.212744,0.063773,0.036966,286
case_44afd89ca16bc36a,Mistral-7B-Instruct-v0.1,0,0.218304,0.112027,0.044458,153
case_d535280ea139ce34,Mistral-7B-Instruct-v0.3,0,0.222787,0.08593,0.048765,234
case_59c578962462b040,Llama-2-7b-chat-hf,0,0.705412,0.477721,0.488498,374
case_3e97bbcececec131,Llama-3.1-8B-Instruct,0,0.174963,0.200069,0.23682,67
case_3a01e231267a1b26,Mistral-7B-Instruct-v0.1,0,0.316772,0.243777,0.324344,122
case_ed6862cacbbf12a0,Mistral-7B-Instruct-v0.3,0,0.320624,0.172006,0.325472,126
case_ac9f7e5c6454e0e3,Llama-2-7b-chat-hf,0,0.249554,0.15827,0.075718,307
case_08cf42eb108b0214,Llama-3.1-8B-Instruct,0,0.189189,0.000593,0.023333,102
case_1aa5203841bc4754,Mistral-7B-Instruct-v0.1,0,0.195665,0.048068,0.030593,170
case_ecdfd7f93fbe0cad,Mistral-7B-Instruct-v0.3,0,0.190231,0.001876,0.023862,247
case_63fe4f96d36af506,Llama-2-7b-chat-hf,1,0.979176,0.888453,0.525371,1167
case_df644d6fdca78452,Llama-3.1-8B-Instruct,0,0.425946,0.302527,0.380185,163
case_a537477dd5e89f8d,Mistral-7B-Instruct-v0.1,0,0.595213,0.845473,0.38321,262
case_b4967bfd2d24c0c6,Mistral-7B-Instruct-v0.3,1,0.530766,0.424278,0.403386,239
case_0a5018a45729f6b0,Llama-2-7b-chat-hf,1,0.953864,0.925133,0.404309,860
case_91a2dee93cb264cc,Llama-3.1-8B-Instruct,0,0.909555,0.929266,0.481818,641
case_f69371fb3ffb6739,Mistral-7B-Instruct-v0.1,1,0.954044,0.828778,0.479722,741
case_d8bd9b439a0b8f80,Mistral-7B-Instruct-v0.3,1,0.935231,0.817403,0.52878,581
case_a814a43cb907569c,Llama-2-7b-chat-hf,0,0.693731,0.279619,0.450286,425
case_d5c411a9dacde15b,Llama-3.1-8B-Instruct,0,0.230648,0.115599,0.245989,135
case_b47bdb004a2c6a9e,Mistral-7B-Instruct-v0.1,0,0.503796,0.297422,0.419786,173
case_3c3071e3a52f210b,Mistral-7B-Instruct-v0.3,0,0.431751,0.159074,0.375545,184
case_fd2e9737facd7dda,Llama-2-7b-chat-hf,0,0.84469,0.887173,0.476536,644
case_c49944cf825a5e39,Llama-3.1-8B-Instruct,0,0.192479,0.007707,0.029662,152
case_6b1099bd957a1052,Mistral-7B-Instruct-v0.1,0,0.205542,0.105426,0.041005,269
case_5958360f6325109b,Mistral-7B-Instruct-v0.3,0,0.239511,0.564924,0.058757,331
case_fcd8e71fcd0cc611,Llama-2-7b-chat-hf,1,0.845138,0.908777,0.566035,474
case_898a26b139f64b3a,Llama-3.1-8B-Instruct,0,0.534773,0.314789,0.422128,244
case_9b7a35737e3f1ece,Mistral-7B-Instruct-v0.1,1,0.732366,0.911088,0.48755,425
case_cb2e29c49340298e,Mistral-7B-Instruct-v0.3,0,0.816458,0.862012,0.452016,747
case_42b51dc2267198d3,Llama-2-7b-chat-hf,1,0.866803,0.886177,0.426311,696
case_da256a46e9eb821c,Llama-3.1-8B-Instruct,0,0.762209,0.508795,0.188741,418
case_0993e438b75ddd84,Mistral-7B-Instruct-v0.1,1,0.300738,0.21388,0.322888,107
case_fd0c9705f4e2ade1,Mistral-7B-Instruct-v0.3,0,0.491398,0.524215,0.132367,522
case_78b1dd79358747c6,Llama-2-7b-chat-hf,0,0.417557,0.33958,0.355157,160
case_ade11c874d723d68,Llama-3.1-8B-Instruct,0,0.435189,0.398771,0.368859,145
case_37d031885d376e84,Mistral-7B-Instruct-v0.1,0,0.292533,0.327968,0.318526,122
case_500da4f44ecafd27,Mistral-7B-Instruct-v0.3,0,0.328942,0.460405,0.341097,123
case_546415850d293b63,Llama-2-7b-chat-hf,1,0.651859,0.635521,0.374432,387
case_18b33c20ac826ec1,Llama-3.1-8B-Instruct,0,0.21137,0.018571,0.038825,146
case_9de29132049f9402,Mistral-7B-Instruct-v0.1,0,0.211283,0.008684,0.035504,130
case_38d108f30dc8b786,Mistral-7B-Instruct-v0.3,0,0.259532,0.220369,0.062056,341
case_1cd64cbca7181c89,Llama-2-7b-chat-hf,0,0.760377,0.83751,0.452708,536
case_2b0aaae19c924804,Llama-3.1-8B-Instruct,0,0.275122,0.220342,0.323997,112
case_df9494caa0521bf8,Mistral-7B-Instruct-v0.1,0,0.275124,0.220342,0.323999,112
case_44275ec7042b6507,Mistral-7B-Instruct-v0.3,0,0.301476,0.32694,0.314117,148
case_38e42e877ba791ae,Llama-2-7b-chat-hf,0,0.375136,0.54763,0.098406,605
case_acddf2c31f02f6ce,Llama-3.1-8B-Instruct,0,0.204522,0.009489,0.029899,162
case_d001fa321b238aa6,Mistral-7B-Instruct-v0.1,0,0.206429,0.008606,0.034831,174
case_e49686b405ba5f46,Mistral-7B-Instruct-v0.3,0,0.209056,0.037631,0.03243,209
case_f74bd70b133cdd5b,Llama-2-7b-chat-hf,0,0.526183,0.284967,0.253238,165
case_28788b64aacc13cc,Llama-3.1-8B-Instruct,0,0.467278,0.226501,0.212798,118
case_3db60793aee8b3fa,Mistral-7B-Instruct-v0.1,0,0.380581,0.215573,0.222939,119
case_f0eba743be926a78,Mistral-7B-Instruct-v0.3,0,0.421188,0.256305,0.223318,119
case_61574c49743f48df,Llama-2-7b-chat-hf,0,0.214506,0.100854,0.031381,224
case_032d15bda3bca5fa,Llama-3.1-8B-Instruct,0,0.209512,0.035189,0.036561,75
case_d18234960d3ca3c0,Mistral-7B-Instruct-v0.1,0,0.211315,0.007376,0.033128,158
case_5f130c5ab60755cb,Mistral-7B-Instruct-v0.3,0,0.21874,0.047007,0.034339,231
case_1e80c3700a1d9ab0,Llama-2-7b-chat-hf,1,0.664121,0.615829,0.161786,370
case_0adaf9eea728a962,Llama-3.1-8B-Instruct,0,0.314632,0.134859,0.301624,133
case_52ece337f5b275c9,Mistral-7B-Instruct-v0.1,1,0.295395,0.175768,0.310642,96
case_f1d786dbd01dc73f,Mistral-7B-Instruct-v0.3,0,0.53634,0.385752,0.371211,325
case_4e69a4771e2d535b,Llama-2-7b-chat-hf,0,0.577695,0.626911,0.127704,357
case_d6df681b74dca596,Llama-3.1-8B-Instruct,0,0.221803,0.110261,0.037091,97
case_fbdb8f8d196d8c77,Mistral-7B-Instruct-v0.1,0,0.266575,0.241027,0.055547,191
case_a0650a029026cbdb,Mistral-7B-Instruct-v0.3,1,0.451898,0.529201,0.13144,397
case_79c3dafc608a46a6,Llama-2-7b-chat-hf,0,0.565936,0.721292,0.301369,328
case_ef7b062c32d84b84,Llama-3.1-8B-Instruct,1,0.323473,0.115467,0.213085,144
case_4ffcef73d7bcc89a,Mistral-7B-Instruct-v0.1,0,0.374629,0.352713,0.336927,130
case_2731ecc65865def6,Mistral-7B-Instruct-v0.3,0,0.305069,0.133424,0.305117,125
case_4d192eb1c9b3c948,Llama-2-7b-chat-hf,0,0.267331,0.193679,0.084483,475
case_76fc2a1879c49e9b,Llama-3.1-8B-Instruct,0,0.187437,0.030973,0.039972,45
case_7abf19723a2e4646,Mistral-7B-Instruct-v0.1,0,0.180375,0.004787,0.026996,251
case_186720c13068c30b,Mistral-7B-Instruct-v0.3,0,0.193134,0.074897,0.038065,269
case_4796d228416feee9,Llama-2-7b-chat-hf,0,0.790641,0.844184,0.415281,487
case_37fa89fa464df84d,Llama-3.1-8B-Instruct,0,0.333343,0.097534,0.216637,100
case_73afcd8dd7413b47,Mistral-7B-Instruct-v0.1,1,0.450981,0.528691,0.127014,149
case_1c242251172ea23d,Mistral-7B-Instruct-v0.3,1,0.72535,0.77689,0.305142,395
case_8513153474e0e1bc,Llama-2-7b-chat-hf,0,0.504941,0.379199,0.144007,636
case_81e139b59ca8d741,Llama-3.1-8B-Instruct,0,0.198557,0.021557,0.027083,182
